```csv
엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
"2024년 식품산업 원료소비 실태조사_2. 통계편",문서제목,시기,2024년,시기,2024년
"전 체",통계집단,생산,농축수산물,원료,추정사례수:18553726;조사사례수:6003
"품목",품목,생산,옥수수,품목,추정사례수:11809065;조사사례수:4112.3
"품목",품목,생산,소맥(밀),품목,추정사례수:3788957;조사사례수:3243.4
"품목",품목,생산,메밀,품목,추정사례수:3853;조사사례수:15.3
"품목",품목,생산,쌀가루,품목,추정사례수:57641;조사사례수:19.9
"품목",품목,생산,보리가루(분말),품목,추정사례수:1152;조사사례수:3.8
"품목",품목,생산,옥수수가루(분말),품목,추정사례수:81051;조사사례수:63.4
"품목",품목,생산,소맥분(밀가루),품목,추정사례수:1578924;조사사례수:120.7
"품목",품목,생산,메밀가루,품목,추정사례수:5608;조사사례수:9.4
"품목",품목,생산,대두,품목,추정사례수:1403322;조사사례수:886.7
"품목",품목,생산,팥,품목,추정사례수:19184;조사사례수:24.9
"품목",품목,생산,땅콩,품목,추정사례수:12641;조사사례수:28.7
"품목",품목,생산,감자,품목,추정사례수:79725;조사사례수:90.9
"품목",품목,생산,고구마,품목,추정사례수:13810;조사사례수:19.5
"품목",품목,생산,타피오카,품목,추정사례수:93212;조사사례수:619.3
"품목",품목,생산,팥앙금,품목,추정사례수:14551;조사사례수:8.0
"품목",품목,생산,주정,품목,추정사례수:909724;조사사례수:2221.5
"품목",품목,생산,배추,품목,추정사례수:442452;조사사례수:65.4
"품목",품목,생산,무,품목,추정사례수:343475;조사사례수:48.6
"품목",품목,생산,당근,품목,추정사례수:12997;조사사례수:1.7
"품목",품목,생산,절임배추,품목,추정사례수:20017;조사사례수:78.5
"품목",품목,생산,양배추,품목,추정사례수:12709;조사사례수:12.7
"품목",품목,생산,절임무,품목,추정사례수:39915;조사사례수:197.3
"품목",품목,생산,고추,품목,추정사례수:422257;조사사례수:186.5
"품목",품목,생산,건고추,품목,추정사례수:42670;조사사례수:13.4
"품목",품목,생산,마늘(깐마늘포함),품목,추정사례수:54028;조사사례수:6.3
"품목",품목,생산,생강,품목,추정사례수:6406;조사사례수:0.8
"품목",품목,생산,양파,품목,추정사례수:77012;조사사례수:5.3
"품목",품목,생산,파,품목,추정사례수:33348;조사사례수:5.3
"품목",품목,생산,고춧가루,품목,추정사례수:34206;조사사례수:2.4
"품목",품목,생산,고추양념다대기(다대기),품목,추정사례수:21792;조사사례수:68224
"품목",품목,생산,다진마늘,품목,추정사례수:9897;조사사례수:89.5
"품목",품목,생산,마늘분말,품목,추정사례수:1643;조사사례수:4.3
"품목",품목,생산,인삼,품목,추정사례수:12454;조사사례수:28.6
"품목",품목,생산,홍삼,품목,추정사례수:2191;조사사례수:10.4
"품목",품목,생산,참깨,품목,추정사례수:26251;조사사례수:11.8
"품목",품목,생산,버섯,품목,추정사례수:1367;조사사례수:1.6
"품목",품목,생산,인삼엑기스/분말,품목,추정사례수:212;조사사례수:7.0
"품목",품목,생산,홍삼엑기스/분말,품목,추정사례수:428;조사사례수:1.5
"품목",품목,생산,버섯엑기스/분말,품목,추정사례수:68;조사사례수:2.0
"품목",품목,생산,오이,품목,추정사례수:157;조사사례수:0.0
"품목",품목,생산,수박,품목,추정사례수:27;조사사례수:0.0
"품목",품목,생산,참외,품목,추정사례수:20;조사사례수:0.0
"품목",품목,생산,딸기,품목,추정사례수:97;조사사례수:0.0
"품목",품목,생산,토마토,품목,추정사례수:84;조사사례수:0.0
"품목",품목,생산,사과,품목,추정사례수:277;조사사례수:0.0
"품목",품목,생산,배,품목,추정사례수:242;조사사례수:0.0
"품목",품목,생산,포도,품목,추정사례수:50;조사사례수:0.0
"품목",품목,생산,감귤,품목,추정사례수:43;조사사례수:0.0
"품목",품목,생산,복숭아,품목,추정사례수:32;조사사례수:0.0
"품목",품목,생산,감,품목,추정사례수:73;조사사례수:0.0
"품목",품목,생산,매실,품목,추정사례수:47;조사사례수:0.0
"품목",품목,생산,농축과채즙,품목,추정사례수:174;조사사례수:0.0
"품목",품목,생산,과일및채소퓨레,품목,추정사례수:120;조사사례수:0.0
"품목",품목,생산,건조야채,품목,추정사례수:39;조사사례수:0.0
"품목",품목,생산,야채분말,품목,추정사례수:55;조사사례수:0.0
```
