엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
EU,지역,수입,한국,국가,시기:2023년
한국,국가,수출,EU,지역,품목:농림축산식품;시기:2020-2022
한국,국가,수출,EU,지역,품목:신선식품;시기:2022
한국,국가,수출,EU,지역,품목:가공식품;시기:2022
한국,국가,수출,EU,지역,품목:농산물;시기:2020-2022
한국,국가,수출,EU,지역,품목:축산물;시기:2020-2022
한국,국가,수출,EU,지역,품목:임산물;시기:2020-2022
한국,국가,수출,EU,지역,품목:복합식품;시기:2020-2022
한국,국가,수출,EU,지역,품목:수산물;시기:2020-2022
한국,국가,수출,EU,지역,품목:가공식품;시기:2020-2022
한국,국가,수출,EU,지역,품목:즉석식품;시기:2020-2022
한국,국가,수출,EU,지역,품목:농림축산식품;시기:2020-2022
한국,국가,수출,EU,지역,품목:신선식품;시기:2022
한국,국가,수출,EU,지역,품목:가공식품;시기:2022
한국,국가,수출,EU,지역,품목:복합식품;시기:2022
한국,국가,수출,EU,지역,품목:수산물;시기:2022
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상서류
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상절차
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역기준
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상품목
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상시설
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상서류
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상절차
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역기준
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상품목
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상시설
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상서류
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상절차
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역기준
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상품목
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상시설
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상서류
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상절차
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역기준
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상품목
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상시설
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상서류
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상절차
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역기준
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상품목
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상시설
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상서류
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상절차
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역기준
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상품목
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상시설
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상서류
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상절차
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역기준
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상품목
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상시설
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상서류
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상절차
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역기준
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상품목
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상시설
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상서류
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상절차
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역기준
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상품목
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상시설
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상서류
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상절차
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역기준
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상품목
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상시설
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상서류
한국,국가,수출,EU,지역,품목:수출검역,속성:수출검역대상절차
