엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
"2024년 친환경농산물 학교급식 현황조사","보고서",,"한국농수산식품유통공사","기관","시기:2024년"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
"친환경농산물","품목",,"버섯","품목",,"공급량:159250"
"친환경농산물","품목",,"쌀","품목",,"공급량:70287"
"친환경농산물","품목",,"양파","품목",,"공급량:9834"
"친환경농산물","품목",,"감귤","품목",,"공급량:4180"
"친환경농산물","품목",,"배추","품목",,"공급량:6862"
"친환경농산물","품목",,"수박","품목",,"공급량:1124"
"친환경농산물","품목",,"감자","품목",,"공급량:10439"
