("entity"|AMERICA|GEO|Country with a land area of 9.83 million km², population of 334.91 million, and GDP of approximately 26.95 trillion USD, leading the US snack and confectionery markets with significant import and retail activity)**
**("relationship"|KOREAN BEAN SNACKS|Import source|Korean bean snacks are imported under HS 2008.97, with increasing import value, especially from Korea, and are gaining popularity among health-conscious U.S. consumers|1)**
**("relationship"|U.S. ONLINE RETAILERS|Distribution channel|Major online platforms like Amazon promote bean snacks emphasizing health keywords such as "gluten-free," "vegan," "organic," indicating a health-focused marketing trend|2)**
**("relationship"|U.S. RETAIL CHANNELS|Distribution channels|Major channels include hypermarkets (33.7%), other (23.5%), warehouse clubs (17.5%), convenience stores (6.3%), and online (6.3%), with large offline stores being primary for distribution|4)**
**("relationship"|TARGET|Retailer|Target sells health-oriented snacks including bean snacks through its extensive physical and online stores, serving a broad consumer base|1)**
**("relationship"|WHOLE FOODS|Retailer|Specializes in organic, natural, and health foods including bean snacks, with over 518 stores and online sales, targeting health-conscious consumers|1)**
**("relationship"|COSTCO|Retailer|Offers bulk packaged bean snacks at low margins, with over 600 stores, focusing on large-volume sales and health products|1)**
**("relationship"|WALMART|Retailer|Major retailer with over 4,600 stores, selling various snack foods including bean snacks, with direct supplier registration processes|1)**
**("relationship"|H MART|Retailer|Korean-American grocery chain with about 97 stores, offering Korean and Asian foods including bean snacks, mainly targeting Asian-American consumers|1)**
**("relationship"|ZION MARKET|Retailer|Korean-American chain with 7 stores, selling Korean and Asian foods, including bean snacks, with online inquiry channels for suppliers|1)**
**("relationship"|FDA|Regulatory Agency|Enforces labeling, allergen, additive, and import regulations for bean snacks, ensuring safety and compliance in the U.S.|1)**
**("relationship"|C-TPAT|Supply Chain Security|Certifies bean snack importers and manufacturers, providing benefits like reduced inspections and faster customs clearance|1)**
**("relationship"|U.S. LABELING REGULATIONS|Regulation|Mandates bilingual labels, ingredient lists, allergen info, nutrition facts, and net weight for bean snacks exported to the U.S.|1)**
**("relationship"|U.S. FOOD ADDITIVES|Regulation|Specifies permitted additives like calcium sulfate, acacia gum, adipic acid, pyridoxine hydrochloride, saccharin, benzoic acid, calcium chloride, fatty acids, with residual limits for bean snack ingredients|1)**
**("relationship"|U.S. HAZARDOUS SUBSTANCES|Regulation|Sets maximum residue limits for aflatoxins and other toxins in bean snacks to ensure safety|1)**
END_OF_OUTPUT
