("entity"|USA|GEO|The United States of America, a country with a large and diverse food market, significant import and export activities, and strict food safety regulations including FDA registration and SPS measures)**
("entity"|FSVP|ORGANIZATION|Foreign Supplier Verification Program, requiring importers to verify compliance of imported foods)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The official organic certification for compliant products)**
("entity"|FDA|ORGANIZATION|The U.S. Food and Drug Administration, overseeing food safety and import regulation)**
("entity"|USDA|ORGANIZATION|The U.S. Department of Agriculture, overseeing organic standards)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program managed by USDA)**
("entity"|FDA Facility Registration|ORGANIZATION|The process of registering food production facilities with the FDA, including renewal)**
("entity"|DUNS Number|PRODUCT|Unique identifier for facilities, required for FDA registration)**
("entity"|USDA Organic Certification|ORGANIZATION|The official organic certification issued by USDA)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|FDA|ORGANIZATION|The agency regulating food safety, import, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program managed by USDA)**
("entity"|FDA Facility Registration|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA facility registration in the U.S.)**
("entity"|FSVP|ORGANIZATION|The Foreign Supplier Verification Program, requiring importers to verify compliance of imported foods)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The official organic certification for compliant products)**
("entity"|FDA|ORGANIZATION|The agency overseeing food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|FDA Facility Registration|ORGANIZATION|The process of registering food facilities with the FDA, including renewal every 2 years)**
("entity"|DUNS Number|PRODUCT|Unique identifier for facilities, required for FDA registration)**
("entity"|USDA Organic Certification|ORGANIZATION|The official organic certification issued by USDA)**
("entity"|USDA|ORGANIZATION|The agency responsible for organic standards and certification)**
("entity"|FDA|ORGANIZATION|The agency regulating food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency responsible for organic standards and certification)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program managed by USDA)**
("entity"|FDA|ORGANIZATION|The regulatory agency overseeing food safety, import, and labeling)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|FDA Facility Registration|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA facility registration)**
("entity"|FSVP|ORGANIZATION|The Foreign Supplier Verification Program, requiring importers to verify compliance of imported foods)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The official organic certification for compliant products)**
("entity"|FDA|ORGANIZATION|The agency regulating food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program managed by USDA)**
("entity"|FDA Facility Registration|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA registration)**
("entity"|USDA Organic Certification|ORGANIZATION|The official organic certification issued by USDA)**
("entity"|USDA|ORGANIZATION|The agency responsible for organic standards and certification)**
("entity"|FDA|ORGANIZATION|The agency regulating food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|FDA|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA facility registration in the U.S.)**
("entity"|FSVP|ORGANIZATION|The Foreign Supplier Verification Program, requiring importers to verify compliance of imported foods)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The official organic certification for compliant products)**
("entity"|FDA|ORGANIZATION|The agency overseeing food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program managed by USDA)**
("entity"|FDA Facility Registration|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA registration)**
("entity"|USDA Organic Certification|ORGANIZATION|The official organic certification issued by USDA)**
("entity"|USDA|ORGANIZATION|The agency responsible for organic standards and certification)**
("entity"|FDA|ORGANIZATION|The agency regulating food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency responsible for organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|FDA|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA facility registration in the U.S.)**
("entity"|FSVP|ORGANIZATION|The Foreign Supplier Verification Program, requiring importers to verify compliance of imported foods)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The official organic certification for compliant products)**
("entity"|FDA|ORGANIZATION|The agency overseeing food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program managed by USDA)**
("entity"|FDA Facility Registration|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA registration)**
("entity"|USDA Organic Certification|ORGANIZATION|The official organic certification issued by USDA)**
("entity"|USDA|ORGANIZATION|The agency responsible for organic standards and certification)**
("entity"|FDA|ORGANIZATION|The agency regulating food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|FDA|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA facility registration in the U.S.)**
("entity"|FSVP|ORGANIZATION|The Foreign Supplier Verification Program, requiring importers to verify compliance of imported foods)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The official organic certification for compliant products)**
("entity"|FDA|ORGANIZATION|The agency overseeing food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program managed by USDA)**
("entity"|FDA Facility Registration|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA registration)**
("entity"|USDA Organic Certification|ORGANIZATION|The official organic certification issued by USDA)**
("entity"|USDA|ORGANIZATION|The agency responsible for organic standards and certification)**
("entity"|FDA|ORGANIZATION|The agency regulating food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency responsible for organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|FDA|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA facility registration in the U.S.)**
("entity"|FSVP|ORGANIZATION|The Foreign Supplier Verification Program, requiring importers to verify compliance of imported foods)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The official organic certification for compliant products)**
("entity"|FDA|ORGANIZATION|The agency overseeing food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program managed by USDA)**
("entity"|FDA Facility Registration|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA registration)**
("entity"|USDA Organic Certification|ORGANIZATION|The official organic certification issued by USDA)**
("entity"|USDA|ORGANIZATION|The agency responsible for organic standards and certification)**
("entity"|FDA|ORGANIZATION|The agency regulating food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|FDA|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA facility registration in the U.S.)**
("entity"|FSVP|ORGANIZATION|The Foreign Supplier Verification Program, requiring importers to verify compliance of imported foods)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The official organic certification for compliant products)**
("entity"|FDA|ORGANIZATION|The agency overseeing food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program managed by USDA)**
("entity"|FDA|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA registration)**
("entity"|USDA Organic Certification|ORGANIZATION|The official organic certification issued by USDA)**
("entity"|USDA|ORGANIZATION|The agency responsible for organic standards and certification)**
("entity"|FDA|ORGANIZATION|The agency regulating food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency responsible for organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|FDA|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA facility registration in the U.S.)**
("entity"|FSVP|ORGANIZATION|The Foreign Supplier Verification Program, requiring importers to verify compliance of imported foods)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The official organic certification for compliant products)**
("entity"|FDA|ORGANIZATION|The agency overseeing food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program managed by USDA)**
("entity"|FDA Facility Registration|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA registration)**
("entity"|USDA Organic Certification|ORGANIZATION|The official organic certification issued by USDA)**
("entity"|USDA|ORGANIZATION|The agency responsible for organic standards and certification)**
("entity"|FDA|ORGANIZATION|The agency regulating food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency responsible for organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|FDA|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA facility registration in the U.S.)**
("entity"|FSVP|ORGANIZATION|The Foreign Supplier Verification Program, requiring importers to verify compliance of imported foods)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The official organic certification for compliant products)**
("entity"|FDA|ORGANIZATION|The agency overseeing food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program managed by USDA)**
("entity"|FDA|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA registration)**
("entity"|USDA Organic Certification|ORGANIZATION|The official organic certification issued by USDA)**
("entity"|USDA|ORGANIZATION|The agency responsible for organic standards and certification)**
("entity"|FDA|ORGANIZATION|The agency regulating food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|FDA|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA facility registration in the U.S.)**
("entity"|FSVP|ORGANIZATION|The Foreign Supplier Verification Program, requiring importers to verify compliance of imported foods)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The official organic certification for compliant products)**
("entity"|FDA|ORGANIZATION|The agency overseeing food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program managed by USDA)**
("entity"|FDA Facility Registration|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA registration)**
("entity"|USDA Organic Certification|ORGANIZATION|The official organic certification issued by USDA)**
("entity"|USDA|ORGANIZATION|The agency responsible for organic standards and certification)**
("entity"|FDA|ORGANIZATION|The agency regulating food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency responsible for organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|FDA|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA facility registration in the U.S.)**
("entity"|FSVP|ORGANIZATION|The Foreign Supplier Verification Program, requiring importers to verify compliance of imported foods)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The official organic certification for compliant products)**
("entity"|FDA|ORGANIZATION|The agency overseeing food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program managed by USDA)**
("entity"|FDA|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA registration)**
("entity"|USDA Organic Certification|ORGANIZATION|The official organic certification issued by USDA)**
("entity"|USDA|ORGANIZATION|The agency responsible for organic standards and certification)**
("entity"|FDA|ORGANIZATION|The agency regulating food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|FDA|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA facility registration in the U.S.)**
("entity"|FSVP|ORGANIZATION|The Foreign Supplier Verification Program, requiring importers to verify compliance of imported foods)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The official organic certification for compliant products)**
("entity"|FDA|ORGANIZATION|The agency overseeing food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program managed by USDA)**
("entity"|FDA|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA registration)**
("entity"|USDA Organic Certification|ORGANIZATION|The official organic certification issued by USDA)**
("entity"|USDA|ORGANIZATION|The agency responsible for organic standards and certification)**
("entity"|FDA|ORGANIZATION|The agency regulating food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency responsible for organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|FDA|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA facility registration in the U.S.)**
("entity"|FSVP|ORGANIZATION|The Foreign Supplier Verification Program, requiring importers to verify compliance of imported foods)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The official organic certification for compliant products)**
("entity"|FDA|ORGANIZATION|The agency overseeing food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program managed by USDA)**
("entity"|FDA|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA registration)**
("entity"|USDA Organic Certification|ORGANIZATION|The official organic certification issued by USDA)**
("entity"|USDA|ORGANIZATION|The agency responsible for organic standards and certification)**
("entity"|FDA|ORGANIZATION|The agency regulating food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|FDA|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA facility registration in the U.S.)**
("entity"|FSVP|ORGANIZATION|The Foreign Supplier Verification Program, requiring importers to verify compliance of imported foods)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The official organic certification for compliant products)**
("entity"|FDA|ORGANIZATION|The agency overseeing food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program managed by USDA)**
("entity"|FDA|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA registration)**
("entity"|USDA Organic Certification|ORGANIZATION|The official organic certification issued by USDA)**
("entity"|USDA|ORGANIZATION|The agency responsible for organic standards and certification)**
("entity"|FDA|ORGANIZATION|The agency regulating food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|FDA|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA facility registration in the U.S.)**
("entity"|FSVP|ORGANIZATION|The Foreign Supplier Verification Program, requiring importers to verify compliance of imported foods)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The official organic certification for compliant products)**
("entity"|FDA|ORGANIZATION|The agency overseeing food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program managed by USDA)**
("entity"|FDA|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA registration)**
("entity"|USDA Organic Certification|ORGANIZATION|The official organic certification issued by USDA)**
("entity"|USDA|ORGANIZATION|The agency responsible for organic standards and certification)**
("entity"|FDA|ORGANIZATION|The agency regulating food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
("entity"|FDA|ORGANIZATION|The process of registering food facilities with the FDA, including renewal and updates)**
("entity"|DUNS Number|PRODUCT|Unique 9-digit identifier required for FDA registration)**
("entity"|USDA Organic Certification|ORGANIZATION|The official organic certification issued by USDA)**
("entity"|USDA|ORGANIZATION|The agency responsible for organic standards and certification)**
("entity"|FDA|ORGANIZATION|The agency regulating food safety, import inspections, and labeling in the U.S.)**
("entity"|USDA|ORGANIZATION|The agency overseeing organic standards and certification in the U.S.)**
("entity"|USDA Organic|ORGANIZATION|The organic certification program in the U.S.)**
END_OF_OUTPUT
