,product,소재지,region,city,category,농장수
76,양상추,경상북도 성주군,경상북도,성주군,양채류,1
77,양송이,충청남도 부여군,충청남도,부여군,버섯류,19
78,양파,경상남도 합천군,경상남도,합천군,조미채소류,7
79,양파,경상남도 함양군,경상남도,함양군,조미채소류,7
80,양파,충청남도 당진시,충청남도,당진시,조미채소류,10
81,양파,전라남도 신안군,전라남도,신안군,조미채소류,10
82,양파,전라남도 무안군,전라남도,무안군,조미채소류,24
83,양파,전라남도 영광군,전라남도,영광군,조미채소류,8
84,양파,경상북도 문경시,경상북도,문경시,조미채소류,1
85,양파,전라남도 함평군,전라남도,함평군,조미채소류,22
86,오이,충청남도 공주시,충청남도,공주시,과채류,3
87,오이,전라남도 구례군,전라남도,구례군,과채류,1
88,오이,경상북도 군위군,경상북도,군위군,과채류,5
89,오이,전라남도 순천시,전라남도,순천시,과채류,4
90,조미채소류 기타,충청남도 금산군,충청남도,금산군,조미채소류,1
91,조미채소류 기타,전라남도 구례군,전라남도,구례군,조미채소류,1
92,조미채소류 기타,강원도 평창군,강원도,평창군,조미채소류,2
93,참외,경상북도 성주군,경상북도,성주군,과일과채류,48
94,토마토,강원도 춘천시,강원도,춘천시,과일과채류,7
95,토마토,경상북도 상주시,경상북도,상주시,과일과채류,8
96,토마토,광주광역시 광산구,광주광역시,광산구,과일과채류,2
97,토마토,전라남도 무안군,전라남도,무안군,과일과채류,1
98,토마토,전라남도 화순군,전라남도,화순군,과일과채류,6
99,토마토,경상남도 사천시,경상남도,사천시,과일과채류,5
100,토마토,충청남도 부여군,충청남도,부여군,과일과채류,6
101,토마토,전라북도 정읍시,전라북도,정읍시,과일과채류,4
102,토마토,전라북도 진안군,전라북도,진안군,과일과채류,2
103,파프리카,전라북도 김제시,전라북도,김제시,양채류,5
104,포도,경기도 수원시,경기도,수원시,과실류,1
105,포도,경상북도 김천시,경상북도,김천시,과실류,12
106,포도,전라북도 남원시,전라북도,남원시,과실류,7
107,포도,충청북도 영동군,충청북도,영동군,과실류,14
108,포도,경상북도 상주시,경상북도,상주시,과실류,29
109,풋고추,경상남도 밀양시,경상남도,밀양시,조미채소류,3
110,풋고추,경상남도 진주시,경상남도,진주시,조미채소류,3
111,호박,전라남도 광양시,전라남도,광양시,과채류,2
112,호박,경기도 수원시,경기도,수원시,과채류,1
113,호박,경기도 양주시,경기도,양주시,과채류,1
114,호박,충청북도 청주시,충청북도,청주시,과채류,3
115,논벼,전라북도 부안군,전라북도,부안군,미곡류,33
116,논벼,전라북도 고창군,전라북도,고창군,미곡류,11
117,논벼,전라북도 김제시,전라북도,김제시,미곡류,35
118,논벼,경상북도 의성군,경상북도,의성군,미곡류,13
119,논벼,충청남도 논산시,충청남도,논산시,미곡류,22
120,논벼,전라남도 영암군,전라남도,영암군,미곡류,50
121,논벼,부산광역시 강서구,부산광역시,강서구,미곡류,3
122,논벼,충청남도 홍성군,충청남도,홍성군,미곡류,17
123,논벼,전라남도 강진군,전라남도,강진군,미곡류,19
124,논벼,인천광역시 강화군,인천광역시,강화군,미곡류,18
125,논벼,경상남도 거창군,경상남도,거창군,미곡류,6
126,논벼,경상북도 경주시,경상북도,경주시,미곡류,12
127,논벼,충청남도 공주시,충청남도,공주시,미곡류,9
128,논벼,경상남도 고성군,경상남도,고성군,미곡류,5
129,논벼,강원도 고성군,강원도,고성군,미곡류,6
130,논벼,전라남도 고흥군,전라남도,고흥군,미곡류,49
131,논벼,전라남도 곡성군,전라남도,곡성군,미곡류,7
132,논벼,충청북도 청주시,충청북도,청주시,미곡류,28
133,논벼,광주광역시 광산구,광주광역시,광산구,미곡류,6
134,논벼,전라남도 구례군,전라남도,구례군,미곡류,15
135,논벼,경상북도 구미시,경상북도,구미시,미곡류,7
136,논벼,충청남도 아산시,충청남도,아산시,미곡류,10
137,논벼,경상남도 김해시,경상남도,김해시,미곡류,6
138,논벼,강원도 철원군,강원도,철원군,미곡류,24
139,논벼,전라남도 나주시,전라남도,나주시,미곡류,23
140,논벼,전라북도 남원시,전라북도,남원시,미곡류,15
141,논벼,충청북도 보은군,충청북도,보은군,미곡류,7
142,논벼,경상북도 포항시,경상북도,포항시,미곡류,8
143,논벼,강원도 홍천군,강원도,홍천군,미곡류,7
144,논벼,경기도 포천시,경기도,포천시,미곡류,9
145,논벼,경기도 이천시,경기도,이천시,미곡류,18
146,논벼,경기도 화성시,경기도,화성시,미곡류,48
147,논벼,전라남도 화순군,전라남도,화순군,미곡류,12
148,논벼,경상북도 김천시,경상북도,김천시,미곡류,4
149,논벼,경상북도 안동시,경상북도,안동시,미곡류,7
150,논벼,경상북도 상주시,경상북도,상주시,미곡류,19
151,논벼,전라북도 전주시,전라북도,전주시,미곡류,9
152,논벼,충청북도 음성군,충청북도,음성군,미곡류,10
153,논벼,경기도 평택시,경기도,평택시,미곡류,26
154,논벼,경기도 안성시,경기도,안성시,미곡류,12
155,논벼,전라북도 익산시,전라북도,익산시,미곡류,36
156,논벼,충청남도 서산시,충청남도,서산시,미곡류,41
157,논벼,전라남도 무안군,전라남도,무안군,미곡류,25
158,논벼,경상북도 고령군,경상북도,고령군,미곡류,6
159,논벼,전라남도 담양군,전라남도,담양군,미곡류,5
160,논벼,충청남도 당진시,충청남도,당진시,미곡류,121
161,논벼,충청남도 예산군,충청남도,예산군,미곡류,13
162,논벼,전라북도 군산시,전라북도,군산시,미곡류,18
163,논벼,충청남도 서천군,충청남도,서천군,미곡류,17
164,논벼,전라북도 순창군,전라북도,순창군,미곡류,5
165,논벼,경상북도 문경시,경상북도,문경시,미곡류,8
166,논벼,경상남도 밀양시,경상남도,밀양시,미곡류,8
167,논벼,경상북도 영덕군,경상북도,영덕군,미곡류,3
168,논벼,울산광역시 울주군,울산광역시,울주군,미곡류,8
169,논벼,충청남도 보령시,충청남도,보령시,미곡류,11
170,논벼,강원도 원주시,강원도,원주시,미곡류,10
171,논벼,전라남도 보성군,전라남도,보성군,미곡류,12
172,논벼,충청남도 부여군,충청남도,부여군,미곡류,15
173,논벼,전라남도 신안군,전라남도,신안군,미곡류,17
174,논벼,경상남도 사천시,경상남도,사천시,미곡류,11
175,논벼,경상남도 산청군,경상남도,산청군,미곡류,6
176,논벼,경상북도 청도군,경상북도,청도군,미곡류,7
177,논벼,전라남도 진도군,전라남도,진도군,미곡류,26
178,논벼,경상남도 의령군,경상남도,의령군,미곡류,6
179,논벼,전라남도 순천시,전라남도,순천시,미곡류,7
180,논벼,충청남도 금산군,충청남도,금산군,미곡류,4
181,논벼,강원도 양구군,강원도,양구군,미곡류,5
182,논벼,경기도 양주시,경기도,양주시,미곡류,5
183,논벼,경기도 양평군,경기도,양평군,미곡류,3
184,논벼,경기도 여주시,경기도,여주시,미곡류,12
185,논벼,경기도 연천군,경기도,연천군,미곡류,9
186,논벼,전라남도 영광군,전라남도,영광군,미곡류,11
187,논벼,경상남도 창원시,경상남도,창원시,미곡류,12
188,논벼,경상북도 영주시,경상북도,영주시,미곡류,3
189,논벼,경상북도 예천군,경상북도,예천군,미곡류,9
190,논벼,전라남도 해남군,전라남도,해남군,미곡류,105
191,논벼,전라남도 완도군,전라남도,완도군,미곡류,6
192,논벼,전라북도 완주군,전라북도,완주군,미곡류,6
193,논벼,전라남도 장흥군,전라남도,장흥군,미곡류,21
194,논벼,경기도 용인시,경기도,용인시,미곡류,5
195,논벼,울산광역시 북구,울산광역시,북구,미곡류,3
196,논벼,전라북도 임실군,전라북도,임실군,미곡류,5
197,논벼,전라남도 장성군,전라남도,장성군,미곡류,9
198,논벼,전라북도 장수군,전라북도,장수군,미곡류,3
199,논벼,전라북도 정읍시,전라북도,정읍시,미곡류,10
200,논벼,경상북도 영천시,경상북도,영천시,미곡류,4
201,논벼,경상남도 진주시,경상남도,진주시,미곡류,5
202,논벼,충청북도 진천군,충청북도,진천군,미곡류,6
203,논벼,경상남도 창녕군,경상남도,창녕군,미곡류,13
204,논벼,충청남도 천안시,충청남도,천안시,미곡류,13
205,논벼,경상북도 칠곡군,경상북도,칠곡군,미곡류,3
206,논벼,충청북도 충주시,충청북도,충주시,미곡류,14
207,논벼,충청남도 태안군,충청남도,태안군,미곡류,40
208,논벼,경기도 파주시,경기도,파주시,미곡류,11
209,논벼,경상남도 함안군,경상남도,함안군,미곡류,12
210,논벼,경상남도 하동군,경상남도,하동군,미곡류,5
211,논벼,경상남도 함양군,경상남도,함양군,미곡류,4
212,논벼,전라남도 함평군,전라남도,함평군,미곡류,6
213,논벼,경상남도 합천군,경상남도,합천군,미곡류,6
214,논벼,대구광역시 달서구,대구광역시,달서구,미곡류,1
215,논벼,강원도 횡성군,강원도,횡성군,미곡류,8
216,논벼,광주광역시 남구,광주광역시,남구,미곡류,3
217,논벼,세종특별자치시 연동면,세종특별자치시,연동면,미곡류,4
218,논벼,경기도 김포시,경기도,김포시,미곡류,5
219,논벼,충청북도 증평군,충청북도,증평군,미곡류,5
220,논벼,강원도 춘천시,강원도,춘천시,미곡류,1
221,논벼,대구광역시 달성군,대구광역시,달성군,미곡류,2
222,가을무,충청남도 아산시,충청남도,아산시,근채류,4
223,가을무,제주특별자치도 서귀포시,제주특별자치도,서귀포시,근채류,50
224,가을무,경기도 양주시,경기도,양주시,근채류,2
225,가을무,경기도 오산시,경기도,오산시,근채류,1
226,가을무,제주특별자치도 제주시,제주특별자치도,제주시,근채류,27
227,가을무,전라남도 장흥군,전라남도,장흥군,근채류,1
228,가을무,울산광역시 울주군,울산광역시,울주군,근채류,1
229,가을무,인천광역시 계양구,인천광역시,계양구,근채류,1
230,가을무,경기도 화성시,경기도,화성시,근채류,2
231,가을무,광주광역시 서구,광주광역시,서구,근채류,1
232,가을무,전라남도 무안군,전라남도,무안군,근채류,3
233,가을무,충청남도 논산시,충청남도,논산시,근채류,2
234,가을무,인천광역시 남동구,인천광역시,남동구,근채류,1
235,가을무,경상남도 고성군,경상남도,고성군,근채류,3
236,가을무,전라북도 고창군,전라북도,고창군,근채류,5
237,가을무,경기도 광주시,경기도,광주시,근채류,2
238,가을무,충청북도 괴산군,충청북도,괴산군,근채류,1
239,가을무,충청남도 예산군,충청남도,예산군,근채류,2
240,가을무,전라북도 익산시,전라북도,익산시,근채류,6
241,가을무,전라남도 해남군,전라남도,해남군,근채류,3
242,가을무,전라남도 영암군,전라남도,영암군,근채류,3
243,가을무,충청남도 금산군,충청남도,금산군,근채류,1
244,건고추,충청남도 금산군,충청남도,금산군,조미채소류,4
245,건고추,전라북도 고창군,전라북도,고창군,조미채소류,3
246,가을무,경상남도 합천군,경상남도,합천군,근채류,1
247,건고추,경상남도 합천군,경상남도,합천군,조미채소류,9
248,가을무,경상북도 봉화군,경상북도,봉화군,근채류,1
249,건고추,경상북도 봉화군,경상북도,봉화군,조미채소류,13
250,가을무,경상남도 함안군,경상남도,함안군,근채류,1
251,건고추,경상남도 함안군,경상남도,함안군,조미채소류,1
252,가을무,전라남도 고흥군,전라남도,고흥군,근채류,4
253,건고추,전라남도 고흥군,전라남도,고흥군,조미채소류,6
254,가을무,강원도 영월군,강원도,영월군,근채류,1
255,곤드레,강원도 영월군,강원도,영월군,산채류,2
256,곤드레,제주특별자치도 제주시,제주특별자치도,제주시,산채류,2
257,가을무,경기도 이천시,경기도,이천시,근채류,2
258,기타,경기도 이천시,경기도,이천시,기타,3
259,녹차,제주특별자치도 서귀포시,제주특별자치도,서귀포시,특용작물류,5
260,가을무,전라북도 남원시,전라북도,남원시,근채류,3
261,느타리버섯,전라북도 남원시,전라북도,남원시,버섯류,2
262,당근,제주특별자치도 제주시,제주특별자치도,제주시,근채류,59
263,대파,경기도 이천시,경기도,이천시,조미채소류,3
264,가을무,경기도 의왕시,경기도,의왕시,근채류,1
265,대파,경기도 의왕시,경기도,의왕시,조미채소류,1
266,대파,제주특별자치도 제주시,제주특별자치도,제주시,조미채소류,2
267,가을무,전라남도 진도군,전라남도,진도군,근채류,2
268,대파,전라남도 진도군,전라남도,진도군,조미채소류,9
269,가을무,강원도 홍천군,강원도,홍천군,근채류,1
270,더덕,강원도 홍천군,강원도,홍천군,약용작물류,8
271,도라지,제주특별자치도 제주시,제주특별자치도,제주시,산채류,1
272,가을무,충청북도 청주시,충청북도,청주시,근채류,3
273,동충하초,충청북도 청주시,충청북도,청주시,약용작물류,2
274,가을무,충청남도 공주시,충청남도,공주시,근채류,1
275,들깨,충청남도 공주시,충청남도,공주시,특용작물류,2
276,들깨,제주특별자치도 제주시,제주특별자치도,제주시,특용작물류,3
277,가을무,강원도 인제군,강원도,인제군,근채류,3
278,들깨,강원도 인제군,강원도,인제군,특용작물류,3
279,가을무,경기도 양평군,경기도,양평군,근채류,1
280,들깨,경기도 양평군,경기도,양평군,특용작물류,27
281,들깨,제주특별자치도 서귀포시,제주특별자치도,서귀포시,특용작물류,3
282,가을무,경기도 가평군,경기도,가평군,근채류,3
283,들깨,경기도 가평군,경기도,가평군,특용작물류,2
284,가을무,충청남도 서산시,충청남도,서산시,근채류,1
285,마늘,제주특별자치도 서귀포시,제주특별자치도,서귀포시,조미채소류,9
286,가을무,경상남도 진주시,경상남도,진주시,근채류,2
287,마늘,경상남도 진주시,경상남도,진주시,조미채소류,4
288,가을무,경상남도 산청군,경상남도,산청군,근채류,2
289,방울양배추(스프로스),경상남도 산청군,경상남도,산청군,양채류,1
290,비트(붉은사탕무우),제주특별자치도 제주시,제주특별자치도,제주시,양채류,7
291,산마늘,강원도 인제군,강원도,인제군,산채류,8
292,가을무,전라북도 장수군,전라북도,장수군,근채류,2
293,산마늘,전라북도 장수군,전라북도,장수군,산채류,1
294,삼채,충청남도 아산시,충청남도,아산시,근채류,1
295,가을무,전라남도 장성군,전라남도,장성군,근채류,1
296,새송이,전라남도 장성군,전라남도,장성군,버섯류,2
297,새송이,전라남도 해남군,전라남도,해남군,버섯류,5
298,약용작물류 기타,전라북도 익산시,전라북도,익산시,약용작물류,3
299,양파,경상남도 고성군,경상남도,고성군,조미채소류,3
300,가을무,전라북도 완주군,전라북도,완주군,근채류,2
301,양파,전라북도 완주군,전라북도,완주군,조미채소류,3
302,가을무,전라남도 함평군,전라남도,함평군,근채류,2
303,가을무,전라북도 진안군,전라북도,진안군,근채류,1
304,연근,전라북도 진안군,전라북도,진안군,근채류,2
305,가을무,경상북도 안동시,경상북도,안동시,근채류,4
306,우엉,경상북도 안동시,경상북도,안동시,근채류,3
307,유채,제주특별자치도 서귀포시,제주특별자치도,서귀포시,특용작물류,6
308,인삼류 기타,충청남도 논산시,충청남도,논산시,인삼류,2
309,인삼류 기타,제주특별자치도 서귀포시,제주특별자치도,서귀포시,인삼류,3
310,가을무,전라남도 나주시,전라남도,나주시,근채류,6
311,조미채소류 기타,전라남도 나주시,전라남도,나주시,조미채소류,1
312,가을무,강원도 원주시,강원도,원주시,근채류,3
313,쪽파,강원도 원주시,강원도,원주시,조미채소류,1
314,쪽파,제주특별자치도 제주시,제주특별자치도,제주시,조미채소류,4
315,가을무,전라남도 강진군,전라남도,강진군,근채류,3
316,참깨,전라남도 강진군,전라남도,강진군,특용작물류,2
317,참깨,제주특별자치도 서귀포시,제주특별자치도,서귀포시,특용작물류,1
318,참죽나무순,제주특별자치도 제주시,제주특별자치도,제주시,산채류,1
319,가을무,경기도 평택시,경기도,평택시,근채류,3
320,취나물,경기도 평택시,경기도,평택시,산채류,1
321,가을무,전라북도 김제시,전라북도,김제시,근채류,2
322,파프리카,제주특별자치도 서귀포시,제주특별자치도,서귀포시,양채류,2
323,파프리카,전라북도 남원시,전라북도,남원시,양채류,3
324,가을무,경기도 여주시,경기도,여주시,근채류,3
325,표고버섯,경기도 여주시,경기도,여주시,버섯류,31
326,표고버섯,경기도 광주시,경기도,광주시,버섯류,8
327,가을무,충청남도 부여군,충청남도,부여군,근채류,1
328,표고버섯,충청남도 부여군,충청남도,부여군,버섯류,74
329,풋고추,충청남도 아산시,충청남도,아산시,조미채소류,1
330,풋고추,강원도 인제군,강원도,인제군,조미채소류,3
331,감,전라북도 고창군,전라북도,고창군,수실류,9
332,감,인천광역시 서구,인천광역시,서구,수실류,1
333,감,전라남도 영암군,전라남도,영암군,수실류,1
334,감,인천광역시 강화군,인천광역시,강화군,수실류,1
335,감,경상남도 거창군,경상남도,거창군,수실류,3
336,감,강원도 영월군,강원도,영월군,수실류,1
337,감,강원도 평창군,강원도,평창군,수실류,2
338,감,광주광역시 광산구,광주광역시,광산구,수실류,1
339,감,충청북도 음성군,충청북도,음성군,수실류,1
340,감,충청남도 홍성군,충청남도,홍성군,수실류,1
341,감,대전광역시 유성구,대전광역시,유성구,수실류,1
342,감,제주특별자치도 제주시,제주특별자치도,제주시,수실류,1
343,감,전라남도 영광군,전라남도,영광군,수실류,1
344,감,경기도 연천군,경기도,연천군,수실류,1
345,감,강원도 횡성군,강원도,횡성군,수실류,1
346,감,전라남도 장흥군,전라남도,장흥군,수실류,2
347,감,경상북도 문경시,경상북도,문경시,수실류,1
348,감,경상북도 안동시,경상북도,안동시,수실류,2
349,건고추,경상북도 안동시,경상북도,안동시,조미채소류,9
350,감,전라북도 무주군,전라북도,무주군,수실류,3
351,건고추,전라북도 무주군,전라북도,무주군,조미채소류,1
352,감,경상북도 청송군,경상북도,청송군,수실류,1
353,건고추,경상북도 청송군,경상북도,청송군,조미채소류,6
354,감,강원도 양구군,강원도,양구군,수실류,2
355,고들빼기,강원도 양구군,강원도,양구군,엽경채류,1
356,고사리,전라북도 고창군,전라북도,고창군,산채류,2
357,감,경기도 파주시,경기도,파주시,수실류,1
358,과실류 기타,경기도 파주시,경기도,파주시,과실류,1
359,감,강원도 춘천시,강원도,춘천시,수실류,1
360,단호박,강원도 춘천시,강원도,춘천시,과채류,2
361,감,대구광역시 달성군,대구광역시,달성군,수실류,1
362,도라지,대구광역시 달성군,대구광역시,달성군,산채류,1
363,감,경상북도 성주군,경상북도,성주군,수실류,1
364,도라지,경상북도 성주군,경상북도,성주군,산채류,2
365,감,경상남도 사천시,경상남도,사천시,수실류,1
366,들깨,경상남도 사천시,경상남도,사천시,특용작물류,1
367,감,광주광역시 북구,광주광역시,북구,수실류,2
368,들깨,광주광역시 북구,광주광역시,북구,특용작물류,1
369,감,강원도 인제군,강원도,인제군,수실류,1
370,감,전라남도 고흥군,전라남도,고흥군,수실류,2
371,블랙커런트,전라남도 고흥군,전라남도,고흥군,과실류,1
372,감,강원도 화천군,강원도,화천군,수실류,2
373,산채류 기타,강원도 화천군,강원도,화천군,산채류,2
374,상추,전라북도 고창군,전라북도,고창군,엽경채류,2
375,감,경상북도 예천군,경상북도,예천군,수실류,1
376,양파,경상북도 예천군,경상북도,예천군,조미채소류,1
377,감,전라남도 신안군,전라남도,신안군,수실류,1
378,감,부산광역시 강서구,부산광역시,강서구,수실류,1
379,엽경채류 기타,부산광역시 강서구,부산광역시,강서구,엽경채류,1
380,감,전라남도 진도군,전라남도,진도군,수실류,1
381,월동배추,전라남도 진도군,전라남도,진도군,엽경채류,3
382,인삼류 기타,전라북도 고창군,전라북도,고창군,인삼류,3
383,표고버섯,전라북도 고창군,전라북도,고창군,버섯류,5
384,호두,강원도 화천군,강원도,화천군,수실류,1
385,감,세종특별자치시 전의면,세종특별자치시,전의면,수실류,1
386,호박,세종특별자치시 전의면,세종특별자치시,전의면,과채류,1
387,호박,전라북도 고창군,전라북도,고창군,과채류,1
388,감국,경기도 평택시,경기도,평택시,약용작물류,1
389,감국,제주특별자치도 제주시,제주특별자치도,제주시,약용작물류,1
390,건고추,제주특별자치도 서귀포시,제주특별자치도,서귀포시,조미채소류,3
391,달래,제주특별자치도 제주시,제주특별자치도,제주시,엽경채류,1
392,당근,제주특별자치도 서귀포시,제주특별자치도,서귀포시,근채류,20
393,두릅,제주특별자치도 제주시,제주특별자치도,제주시,산채류,2
394,만감,제주특별자치도 제주시,제주특별자치도,제주시,과실류,6
395,만감,제주특별자치도 서귀포시,제주특별자치도,서귀포시,과실류,19
396,매실,제주특별자치도 제주시,제주특별자치도,제주시,과실류,3
397,봄무,제주특별자치도 서귀포시,제주특별자치도,서귀포시,근채류,2
398,감귤,강원도 횡성군,강원도,횡성군,과실류,1
399,브로콜리(녹색꽃양배추),강원도 횡성군,강원도,횡성군,양채류,5
400,감귤,전라남도 영암군,전라남도,영암군,과실류,1
401,수박,전라남도 영암군,전라남도,영암군,과일과채류,2
402,약용작물류 기타,제주특별자치도 제주시,제주특별자치도,제주시,약용작물류,4
403,양배추,제주특별자치도 서귀포시,제주특별자치도,서귀포시,엽경채류,38
404,양파,제주특별자치도 서귀포시,제주특별자치도,서귀포시,조미채소류,12
405,얼갈이배추,제주특별자치도 서귀포시,제주특별자치도,서귀포시,엽경채류,2
406,옻,제주특별자치도 제주시,제주특별자치도,제주시,약용작물류,1
407,장뇌,제주특별자치도 제주시,제주특별자치도,제주시,인삼류,1
408,저장무,제주특별자치도 서귀포시,제주특별자치도,서귀포시,근채류,2
409,조미채소류 기타,제주특별자치도 서귀포시,제주특별자치도,서귀포시,조미채소류,1
410,참깨,제주특별자치도 제주시,제주특별자치도,제주시,특용작물류,5
411,코라비(순무양배추),제주특별자치도 서귀포시,제주특별자치도,서귀포시,기타,1
412,파프리카,제주특별자치도 제주시,제주특별자치도,제주시,양채류,7
413,표고버섯,제주특별자치도 서귀포시,제주특별자치도,서귀포시,버섯류,35
414,황기,제주특별자치도 서귀포시,제주특별자치도,서귀포시,약용작물류,1
415,감자,강원도 양구군,강원도,양구군,서류,12
416,감자,충청남도 천안시,충청남도,천안시,서류,22
417,감자,전라북도 무주군,전라북도,무주군,서류,5
418,감자,경상북도 군위군,경상북도,군위군,서류,4
419,감자,전라북도 익산시,전라북도,익산시,서류,3
420,감자,경상남도 거창군,경상남도,거창군,서류,4
421,감자,전라남도 해남군,전라남도,해남군,서류,7
422,감자,강원도 횡성군,강원도,횡성군,서류,17
423,감자,충청남도 홍성군,충청남도,홍성군,서류,6
424,감자,강원도 강릉시,강원도,강릉시,서류,17
425,감자,강원도 춘천시,강원도,춘천시,서류,5
426,감자,경상북도 김천시,경상북도,김천시,서류,2
427,감자,제주특별자치도 서귀포시,제주특별자치도,서귀포시,서류,22
428,감자,경상남도 밀양시,경상남도,밀양시,서류,14
429,감자,제주특별자치도 제주시,제주특별자치도,제주시,서류,16
430,감자,강원도 정선군,강원도,정선군,서류,3
431,감자,전라남도 보성군,전라남도,보성군,서류,17
432,감자,전라북도 남원시,전라북도,남원시,서류,10
433,감자,충청남도 아산시,충청남도,아산시,서류,4
434,감자,경기도 용인시,경기도,용인시,서류,25
435,가지,경기도 용인시,경기도,용인시,과채류,1
436,감자,경상북도 영천시,경상북도,영천시,서류,4
437,감,경상북도 영천시,경상북도,영천시,수실류,1
438,감자,전라남도 구례군,전라남도,구례군,서류,5
439,감,전라남도 구례군,전라남도,구례군,수실류,2
440,감자,강원도 삼척시,강원도,삼척시,서류,7
441,건고추,강원도 삼척시,강원도,삼척시,조미채소류,1
442,감자,전라남도 장성군,전라남도,장성군,서류,8
