,city,region,product,farm
254,군위군,대구광역시,소(한우),359
255,달성군,대구광역시,소(육우),14
256,달성군,대구광역시,소(젖소),7
257,달성군,대구광역시,소(한우),229
258,동구,대구광역시,소(육우),5
259,동구,대구광역시,소(젖소),2
260,동구,대구광역시,소(한우),76
261,북구,대구광역시,소(육우),1
262,북구,대구광역시,소(한우),33
263,수성구,대구광역시,소(젖소),1
264,수성구,대구광역시,소(한우),5
265,대덕구,대전광역시,소(한우),4
266,동구,대전광역시,소(한우),9
267,서구,대전광역시,소(한우),70
268,유성구,대전광역시,소(육우),1
269,유성구,대전광역시,소(한우),53
270,중구,대전광역시,소(한우),14
271,강서구,부산광역시,소(육우),5
272,강서구,부산광역시,소(젖소),2
273,강서구,부산광역시,소(한우),24
274,금정구,부산광역시,소(한우),6
275,기장군,부산광역시,소(육우),2
276,기장군,부산광역시,소(젖소),1
277,기장군,부산광역시,소(한우),41
278,서초구,서울특별시,소(젖소),1
279,세종,세종특별자치시,소(육우),59
280,세종,세종특별자치시,소(젖소),57
281,세종,세종특별자치시,소(한우),542
282,남구,울산광역시,소(한우),1
283,북구,울산광역시,소(한우),76
284,울주군,울산광역시,소(육우),17
285,울주군,울산광역시,소(젖소),17
286,울주군,울산광역시,소(한우),1358
287,중구,울산광역시,소(한우),5
288,강화군,인천광역시,소(육우),68
289,강화군,인천광역시,소(젖소),58
290,강화군,인천광역시,소(한우),355
291,계양구,인천광역시,소(육우),15
292,계양구,인천광역시,소(젖소),9
293,계양구,인천광역시,소(한우),11
294,남동구,인천광역시,소(한우),5
295,서구,인천광역시,소(육우),3
296,서구,인천광역시,소(젖소),2
297,서구,인천광역시,소(한우),2
298,옹진군,인천광역시,소(한우),14
299,중구,인천광역시,소(한우),2
300,강진군,전라남도,소(육우),10
301,강진군,전라남도,소(젖소),3
302,강진군,전라남도,소(한우),983
303,고흥군,전라남도,소(육우),30
304,고흥군,전라남도,소(젖소),25
305,고흥군,전라남도,소(한우),1093
306,곡성군,전라남도,소(육우),19
307,곡성군,전라남도,소(젖소),18
308,곡성군,전라남도,소(한우),466
309,광양시,전라남도,소(육우),6
310,광양시,전라남도,소(젖소),4
311,광양시,전라남도,소(한우),104
312,구례군,전라남도,소(육우),2
313,구례군,전라남도,소(젖소),2
314,구례군,전라남도,소(한우),201
315,나주시,전라남도,소(육우),76
316,나주시,전라남도,소(젖소),75
317,나주시,전라남도,소(한우),1271
318,담양군,전라남도,소(육우),14
319,담양군,전라남도,소(젖소),11
320,담양군,전라남도,소(한우),533
321,목포시,전라남도,소(한우),5
322,무안군,전라남도,소(육우),19
323,무안군,전라남도,소(젖소),14
324,무안군,전라남도,소(한우),1102
325,보성군,전라남도,소(육우),21
326,보성군,전라남도,소(젖소),21
327,보성군,전라남도,소(한우),796
328,순천시,전라남도,소(육우),46
329,순천시,전라남도,소(젖소),46
330,순천시,전라남도,소(한우),507
331,신안군,전라남도,소(한우),284
332,여수시,전라남도,소(한우),295
333,영광군,전라남도,소(육우),24
334,영광군,전라남도,소(젖소),26
335,영광군,전라남도,소(한우),706
336,영암군,전라남도,소(육우),38
337,영암군,전라남도,소(젖소),41
338,영암군,전라남도,소(한우),970
339,완도군,전라남도,소(한우),303
340,장성군,전라남도,소(육우),12
341,장성군,전라남도,소(젖소),10
342,장성군,전라남도,소(한우),442
343,장흥군,전라남도,소(육우),11
344,장흥군,전라남도,소(젖소),6
345,장흥군,전라남도,소(한우),1436
346,진도군,전라남도,소(육우),1
347,진도군,전라남도,소(한우),76
348,함평군,전라남도,소(육우),35
349,함평군,전라남도,소(젖소),34
350,함평군,전라남도,소(한우),1030
351,해남군,전라남도,소(육우),24
352,해남군,전라남도,소(젖소),19
353,해남군,전라남도,소(한우),1169
354,화순군,전라남도,소(육우),26
355,화순군,전라남도,소(젖소),28
356,화순군,전라남도,소(한우),513
357,고창군,전라북도,소(육우),73
358,고창군,전라북도,소(젖소),89
359,고창군,전라북도,소(한우),655
360,군산시,전라북도,소(육우),9
361,군산시,전라북도,소(젖소),11
362,군산시,전라북도,소(한우),197
363,김제시,전라북도,소(육우),28
364,김제시,전라북도,소(젖소),21
365,김제시,전라북도,소(한우),791
366,남원시,전라북도,소(육우),53
367,남원시,전라북도,소(젖소),48
368,남원시,전라북도,소(한우),745
369,덕진구,전라북도,소(젖소),1
370,덕진구,전라북도,소(한우),18
371,무주군,전라북도,소(육우),7
372,무주군,전라북도,소(젖소),9
373,무주군,전라북도,소(한우),209
374,부안군,전라북도,소(육우),11
375,부안군,전라북도,소(젖소),10
376,부안군,전라북도,소(한우),613
377,순창군,전라북도,소(육우),12
378,순창군,전라북도,소(젖소),12
379,순창군,전라북도,소(한우),589
380,완주군,전라북도,소(육우),34
381,완주군,전라북도,소(젖소),35
382,완주군,전라북도,소(한우),698
383,익산시,전라북도,소(육우),30
384,익산시,전라북도,소(젖소),27
385,익산시,전라북도,소(한우),679
386,임실군,전라북도,소(육우),44
387,임실군,전라북도,소(젖소),54
388,임실군,전라북도,소(한우),560
389,장수군,전라북도,소(육우),2
390,장수군,전라북도,소(젖소),2
391,장수군,전라북도,소(한우),707
392,정읍시,전라북도,소(육우),62
393,정읍시,전라북도,소(젖소),82
394,정읍시,전라북도,소(한우),1548
395,진안군,전라북도,소(육우),13
396,진안군,전라북도,소(젖소),16
397,진안군,전라북도,소(한우),252
398,서귀포시,제주특별자치도,소(육우),9
399,서귀포시,제주특별자치도,소(젖소),6
400,서귀포시,제주특별자치도,소(한우),215
401,제주시,제주특별자치도,소(육우),58
402,제주시,제주특별자치도,소(젖소),35
403,제주시,제주특별자치도,소(한우),344
404,계룡시,충청남도,소(한우),7
405,공주시,충청남도,소(육우),40
406,공주시,충청남도,소(젖소),38
407,공주시,충청남도,소(한우),1353
408,금산군,충청남도,소(육우),18
409,금산군,충청남도,소(젖소),13
410,금산군,충청남도,소(한우),180
411,논산시,충청남도,소(육우),37
412,논산시,충청남도,소(젖소),36
413,논산시,충청남도,소(한우),595
414,당진시,충청남도,소(육우),99
415,당진시,충청남도,소(젖소),116
416,당진시,충청남도,소(한우),635
417,동남구,충청남도,소(육우),74
418,동남구,충청남도,소(젖소),76
419,동남구,충청남도,소(한우),280
420,보령시,충청남도,소(육우),56
421,보령시,충청남도,소(젖소),50
422,보령시,충청남도,소(한우),583
423,부여군,충청남도,소(육우),60
424,부여군,충청남도,소(젖소),44
425,부여군,충청남도,소(한우),828
426,서북구,충청남도,소(육우),126
427,서북구,충청남도,소(젖소),96
428,서북구,충청남도,소(한우),117
429,서산시,충청남도,소(육우),32
430,서산시,충청남도,소(젖소),38
431,서산시,충청남도,소(한우),728
432,서천군,충청남도,소(육우),20
433,서천군,충청남도,소(젖소),24
434,서천군,충청남도,소(한우),370
435,아산시,충청남도,소(육우),117
436,아산시,충청남도,소(젖소),134
437,아산시,충청남도,소(한우),383
438,예산군,충청남도,소(육우),120
439,예산군,충청남도,소(젖소),119
440,예산군,충청남도,소(한우),1044
441,청양군,충청남도,소(육우),26
442,청양군,충청남도,소(젖소),13
443,청양군,충청남도,소(한우),744
444,태안군,충청남도,소(육우),23
445,태안군,충청남도,소(젖소),31
446,태안군,충청남도,소(한우),221
447,홍성군,충청남도,소(육우),59
448,홍성군,충청남도,소(젖소),63
449,홍성군,충청남도,소(한우),1292
450,괴산군,충청북도,소(육우),10
451,괴산군,충청북도,소(젖소),10
452,괴산군,충청북도,소(한우),371
453,단양군,충청북도,소(육우),1
454,단양군,충청북도,소(한우),92
455,보은군,충청북도,소(육우),26
456,보은군,충청북도,소(젖소),30
457,보은군,충청북도,소(한우),679
458,상당구,충청북도,소(육우),13
459,상당구,충청북도,소(젖소),18
460,상당구,충청북도,소(한우),299
461,서원구,충청북도,소(육우),18
462,서원구,충청북도,소(젖소),21
463,서원구,충청북도,소(한우),108
464,영동군,충청북도,소(육우),11
465,영동군,충청북도,소(젖소),15
466,영동군,충청북도,소(한우),194
467,옥천군,충청북도,소(육우),12
468,옥천군,충청북도,소(젖소),7
469,옥천군,충청북도,소(한우),584
470,음성군,충청북도,소(육우),25
471,음성군,충청북도,소(젖소),27
472,음성군,충청북도,소(한우),362
473,제천시,충청북도,소(육우),5
474,제천시,충청북도,소(젖소),4
475,제천시,충청북도,소(한우),426
476,증평군,충청북도,소(육우),5
477,증평군,충청북도,소(젖소),4
478,증평군,충청북도,소(한우),154
479,진천군,충청북도,소(육우),39
480,진천군,충청북도,소(젖소),42
481,진천군,충청북도,소(한우),279
482,청원구,충청북도,소(육우),44
483,청원구,충청북도,소(젖소),38
484,청원구,충청북도,소(한우),536
485,충주시,충청북도,소(육우),21
486,충주시,충청북도,소(젖소),18
487,충주시,충청북도,소(한우),551
488,흥덕구,충청북도,소(육우),32
489,흥덕구,충청북도,소(젖소),47
490,흥덕구,충청북도,소(한우),234
