문서제목,엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
(게시용) 2025년 5월 농산물 해외수입정보,녹두,품목,수입국,중국,국가,국가:중국;시기:2025년 5월
(게시용) 2025년 5월 농산물 해외수입정보,메밀,품목,수입국,중국,국가,국가:중국;시기:2025년 5월
(게시용) 2025년 5월 농산물 해외수입정보,메밀,품목,수입국,인도,국가,국가:인도;시기:2025년 5월
(게시용) 2025년 5월 농산물 해외수입정보,콩나물콩,품목,수입국,중국,국가,국가:중국;시기:2025년 5월
(게시용) 2025년 5월 농산물 해외수입정보,건고추,품목,수입국,중국,국가,국가:중국;시기:2025년 5월
(게시용) 2025년 5월 농산물 해외수입정보,신선마늘,품목,수입국,중국,국가,국가:중국;시기:2025년 5월
(게시용) 2025년 5월 농산물 해외수입정보,신선양파,품목,수입국,중국,국가,국가:중국;시기:2025년 5월
(게시용) 2025년 5월 농산물 해외수입정보,생강,품목,수입국,중국,국가,국가:중국;시기:2025년 5월
(게시용) 2025년 5월 농산물 해외수입정보,알땅콩,품목,수입국,중국,국가,국가:중국;시기:2025년 5월
(게시용) 2025년 5월 농산물 해외수입정보,녹두,품목,수입국,미국,국가,국가:미국;시기:2025년 5월
(게시용) 2025년 5월 농산물 해외수입정보,양파,품목,수입국,중국,국가,국가:중국;시기:2025년 5월
(게시용) 2025년 5월 농산물 해외수입정보,양파,품목,수입국,인도,국가,국가:인도;시기:2025년 5월
(게시용) 2025년 5월 농산물 해외수입정보,기타,품목,수입국,미국,국가,국가:미국;시기:2025년 5월
(게시용) 2025년 5월 농산물 해외수입정보,기타,품목,수입국,중국,국가,국가:중국;시기:2025년 5월
(게시용) 2025년 5월 농산물 해외수입정보,기타,품목,수입국,인도,국가,국가:인도;시기:2025년 5월
(게시용) 2025년 5월 농산물 해외수입정보,수입실적,기관,수입량,중국,국가,국가:중국;시기:2025년 4월
(게시용) 2025년 5월 농산물 해외수입정보,수입실적,기관,수입량,미국,국가,국가:미국;시기:2025년 4월
(게시용) 2025년 5월 농산물 해외수입정보,수입실적,기관,수입량,인도,국가,국가:인도;시기:2025년 4월
(게시용) 2025년 5월 농산물 해외수입정보,수입실적,기관,수입량,기타,국가,국가:기타;시기:2025년 4월
(게시용) 2025년 5월 농산물 해외수입정보,수입량,품목,수입국,중국,국가,국가:중국;시기:2025년 4월
(게시용) 2025년 5월 농산물 해외수입정보,수입량,품목,수입국,미국,국가,국가:미국;시기:2025년 4월
(게시용) 2025년 5월 농산물 해외수입정보,수입량,품목,수입국,인도,국가,국가:인도;시기:2025년 4월
(게시용) 2025년 5월 농산물 해외수입정보,수입량,품목,수입국,기타,국가,국가:기타;시기:2025년 4월
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,생산지,쌀,품목,국가:중국
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,생산지,팥,품목,국가:중국
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,생산지,녹두,품목,국가:중국
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,생산지,메밀,품목,국가:중국
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,생산지,콩나물콩,품목,국가:중국
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,생산지,건고추,품목,국가:중국
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,생산지,신선마늘,품목,국가:중국
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,생산지,신선양파,품목,국가:중국
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,생산지,생강,품목,국가:중국
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,생산지,알땅콩,품목,국가:중국
(게시용) 2025년 6월 농산물 해외수입정보,미국,국가,생산지,미국,국가,국가:미국
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입실적,24.12,시기,시기:2024.12
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입실적,24.5,시기,시기:2024.5
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입실적,25.5,시기,시기:2025.5
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,170597,수입량,수입량:170597
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,85774,수입량,수입량:85774
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,68298,수입량,수입량:68298
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,135655,수입량,수입량:135655
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,42123,수입량,수입량:42123
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,16215,수입량,수입량:16215
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,15470,수입량,수입량:15470
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,10908,수입량,수입량:10908
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,3491,수입량,수입량:3491
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,4162,수입량,수입량:4162
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,820,수입량,수입량:820
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,20751,수입량,수입량:20751
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,5135,수입량,수입량:5135
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,463,수입량,수입량:463
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,85169,수입량,수입량:85169
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,4417,수입량,수입량:4417
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,27709,수입량,수입량:27709
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,21303,수입량,수입량:21303
(게시용) 2025년 6월 농산물 해외수입정보,인도,국가,수입량,4648,수입량,수입량:4648
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,934,수입량,수입량:934
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,724,수입량,수입량:724
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,30245,수입량,수입량:30245
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,1425,수입량,수입량:1425
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,375,수입량,수입량:375
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,440,수입량,수입량:440
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,1915,수입량,수입량:1915
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,1269,수입량,수입량:1269
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,30245,수입량,수입량:30245
(게시용) 2025년 6월 농산물 해외수입정보,중국,국가,수입량,375,수입량,수입량:375
(게시용)+2024년+10월+농산물+해외수입정보,쌀,품목,수입국,중국,국가,국가:중국;시기:2024년10월
(게시용)+2024년+10월+농산물+해외수입정보,팥,품목,수입국,중국,국가,국가:중국;시기:2024년10월
(게시용)+2024년+10월+농산물+해외수입정보,콩,품목,수입국,미국,국가,국가:미국;시기:2024년10월
(게시용)+2024년+10월+농산물+해외수입정보,녹두,품목,수입국,중국,국가,국가:중국;시기:2024년10월
(게시용)+2024년+10월+농산물+해외수입정보,메밀,품목,수입국,중국,국가,국가:중국;시기:2024년10월
(게시용)+2024년+10월+농산물+해외수입정보,콩나물콩,품목,수입국,중국,국가,국가:중국;시기:2024년10월
(게시용)+2024년+10월+농산물+해외수입정보,건고추,품목,수입국,중국,국가,국가:중국;시기:2024년10월
(게시용)+2024년+10월+농산물+해외수입정보,신선마늘,품목,수입국,중국,국가,국가:중국;시기:2024년10월
(게시용)+2024년+10월+농산물+해외수입정보,신선양파,품목,수입국,중국,국가,국가:중국;시기:2024년10월
(게시용)+2024년+10월+농산물+해외수입정보,참깨,품목,수입국,중국,국가,국가:중국;시기:2024년10월
(게시용)+2024년+10월+농산물+해외수입정보,참깨,품목,수입국,인도,국가,국가:인도;시기:2024년10월
(게시용)+2024년+10월+농산물+해외수입정보,알땅콩,품목,수입국,중국,국가,국가:중국;시기:2024년10월
(게시용)+2024년+10월+농산물+해외수입정보,생강,품목,수입국,중국,국가,국가:중국;시기:2024년10월
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:103152
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:27717
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:6520
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:660
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:12973
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:17767
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:4035
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:354
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:55827
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:16029
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:4170
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:18174
(게시용)+2024년+10월+농산물+해외수입정보,인도,국가,수입량,전체,수량,수입량:16029
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:4117
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:528
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:29972
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:58886
(게시용)+2024년+10월+농산물+해외수입정보,인도,국가,수입량,전체,수량,수입량:16931
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:4081
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:32308
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:2980
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:121606
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:58810
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:1779
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:4072
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:18574
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:17167
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:4152
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:58186
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:417
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:528
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:528
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:528
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:528
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:528
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:528
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:528
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:528
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:528
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:528
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:528
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:528
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:528
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:528
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:528
(게시용)+2024년+10월+농산물+해외수입정보,중국,국가,수입량,전체,수량,수입량:528
(게시용)+2024년+11월+농산물+해외수입정보,쌀,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:126152
(게시용)+2024년+11월+농산물+해외수입정보,팥,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:32181
(게시용)+2024년+11월+농산물+해외수입정보,콩,품목,수입량,미국,국가,국가:미국;시기:2024년11월;수입량:196302
(게시용)+2024년+11월+농산물+해외수입정보,녹두,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:1695
(게시용)+2024년+11월+농산물+해외수입정보,메밀,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:660
(게시용)+2024년+11월+농산물+해외수입정보,대두,품목,수입량,미국,국가,국가:미국;시기:2024년11월;수입량:196302
(게시용)+2024년+11월+농산물+해외수입정보,녹두,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:1695
(게시용)+2024년+11월+농산물+해외수입정보,메밀,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:660
(게시용)+2024년+11월+농산물+해외수입정보,콩나물콩,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:13466
(게시용)+2024년+11월+농산물+해외수입정보,알땅콩,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:591
(게시용)+2024년+11월+농산물+해외수입정보,생강,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:4224
(게시용)+2024년+11월+농산물+해외수입정보,건고추,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:4395
(게시용)+2024년+11월+농산물+해외수입정보,마늘,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:384
(게시용)+2024년+11월+농산물+해외수입정보,참깨,품목,수입량,인도,국가,국가:인도;시기:2024년11월;수입량:19023
(게시용)+2024년+11월+농산물+해외수입정보,생강,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:4224
(게시용)+2024년+11월+농산물+해외수입정보,참깨,품목,수입량,인도,국가,국가:인도;시기:2024년11월;수입량:19023
(게시용)+2024년+11월+농산물+해외수입정보,건고추,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:4438
(게시용)+2024년+11월+농산물+해외수입정보,마늘,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:384
(게시용)+2024년+11월+농산물+해외수입정보,참깨,품목,수입량,인도,국가,국가:인도;시기:2024년11월;수입량:19023
(게시용)+2024년+12월+농산물+해외수입정보,중국,국가,수입량,쌀,품목,국가:중국
(게시용)+2024년+12월+농산물+해외수입정보,중국,국가,수입량,팥,품목,국가:중국
(게시용)+2024년+12월+농산물+해외수입정보,중국,국가,수입량,콩,품목,국가:중국
(게시용)+2024년+12월+농산물+해외수입정보,미국,국가,수입량,콩,품목,국가:미국
(게시용)+2024년+12월+농산물+해외수입정보,중국,국가,수입량,녹두,품목,국가:중국
(게시용)+2024년+12월+농산물+해외수입정보,중국,국가,수입량,메밀,품목,국가:중국
(게시용)+2024년+12월+농산물+해외수입정보,중국,국가,수입량,콩나물콩,품목,국가:중국
(게시용)+2024년+12월+농산물+해외수입정보,중국,국가,수입량,건고추,품목,국가:중국
(게시용)+2024년+12월+농산물+해외수입정보,중국,국가,수입량,신선마늘,품목,국가:중국
(게시용)+2024년+12월+농산물+해외수입정보,중국,국가,수입량,신선양파,품목,국가:중국
(게시용)+2024년+12월+농산물+해외수입정보,중국,국가,수입량,참깨,품목,국가:중국
(게시용)+2024년+12월+농산물+해외수입정보,중국,국가,수입량,알땅콩,품목,국가:중국
(게시용)+2024년+12월+농산물+해외수입정보,중국,국가,수입량,생강,품목,국가:중국
(게시용)+2024년+12월+농산물+해외수입정보,인도,국가,수입량,생강,품목,국가:인도
(게시용)+2024년+12월+농산물+해외수입정보,중국,국가,수입량,생강,품목,국가:중국
(게시용)+2024년+12월+농산물+해외수입정보,중국,국가,수입량,참깨,품목,국가:중국
(게시용)+2024년+12월+농산물+해외수입정보,중국,국가,수입량,마늘,품목,국가:중국
(게시용)+2024년+12월+농산물+해외수입정보,중국,국가,수입량,생강,품목,국가:중국
(게시용)+2024년+12월+농산물+해외수입정보,중국,국가,수입량,산지거래,거래,시기:2024년12월
(게시용)+2024년+12월+농산물+해외수입정보,중국,국가,수입량,산지거래,거래,시기:2024년12월
(게시용)+2024년+12월+농산물+해외수입정보,중국,국가,수입량,산지거래,거래,시기:2024년12월
(게시용)+2024년+12월+농산물+해외수입정보,중국,국가,수입량,산지거래,거래,시기:2024년12월
(게시용)+2024년+12월+농산물+해외수입정보,중국,국가,수입량,산지거래,거래,시기:2024년12월
(게시용)+2024년+12월+농산물+해외수입정보,중국,국가,수입량,산지거래,거래,시기:2024년12월
(게시용)+2024년+12월+농산물+해외수입정보,중국,국가,수입량,산지거래,거래,시기:2024년12월
(게시용)+2024년+12월+농산물+해외수입정보,중국,국가,수입량,산지거래,거래,시기:2024년12월
(게시용)+2024년+12월+농산물+해외수입정보,중국,국가,수입량,산지거래,거래,시기:2024년12월
