엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
한국,정부기관,발행,가공식품 세분시장 현황 보고서,보고서,발행기관:농림축산식품부;작성기관:한국농수산식품유통공사;작성연도:2022
농림축산식품부,정부기관,주관,가공식품 세분시장 현황 보고서,보고서,주관기관:농림축산식품부
한국농수산식품유통공사,공공기관,시행,가공식품 세분시장 현황 보고서,보고서,시행기관:한국농수산식품유통공사
네이버,포털사이트,검색,냉동식품,품목,검색량:2021.08.02.~2022.08.02
네이버,포털사이트,검색,냉동식품,품목,검색량:2022년 1월 4일 '풀무원 냉동피자높은매출성장률'뉴스외
유통업체,기업,판매,냉동반조리빵,품목,시장규모:2021년 520억 원,점유율:약 2.3%
유통업체,기업,판매,냉동케익,품목,시장규모:2021년 480억 원,점유율:약 2.1%
유통업체,기업,판매,냉동치킨,품목,시장규모:2021년 440억 원,점유율:약 1.9%
유통업체,기업,판매,냉동핫도그,품목,시장규모:2021년 420억 원,점유율:약 1.8%
유통업체,기업,판매,냉동피자,품목,시장규모:2021년 410억 원,점유율:약 1.8%
유통업체,기업,판매,냉동만두,품목,시장규모:2021년 400억 원,점유율:약 1.7%
유통업체,기업,판매,냉동밥류,품목,시장규모:2021년 390억 원,점유율:약 1.7%
유통업체,기업,판매,냉동튀김,품목,시장규모:2021년 380억 원,점유율:약 1.6%
유통업체,기업,판매,냉동치즈,품목,시장규모:2021년 370억 원,점유율:약 1.6%
유통업체,기업,판매,냉동국/탕/찌개류,품목,시장규모:2021년 360억 원,점유율:약 1.5%
유통업체,기업,판매,냉동해산물,품목,시장규모:2021년 350억 원,점유율:약 1.5%
유통업체,기업,판매,냉동대체육,품목,시장규모:2021년 340억 원,점유율:약 1.4%
유통업체,기업,판매,냉동대체해산물,품목,시장규모:2021년 330억 원,점유율:약 1.4%
유통업체,기업,판매,냉동반조리빵,품목,시장규모:2021년 320억 원,점유율:약 1.4%
유통업체,기업,판매,냉동케익,품목,시장규모:2021년 310억 원,점유율:약 1.3%
유통업체,기업,판매,냉동치킨,품목,시장규모:2021년 300억 원,점유율:약 1.3%
유통업체,기업,판매,냉동핫도그,품목,시장규모:2021년 290억 원,점유율:약 1.2%
유통업체,기업,판매,냉동피자,품목,시장규모:2021년 280억 원,점유율:약 1.2%
유통업체,기업,판매,냉동만두,품목,시장규모:2021년 270억 원,점유율:약 1.2%
유통업체,기업,판매,냉동밥류,품목,시장규모:2021년 260억 원,점유율:약 1.1%
유통업체,기업,판매,냉동튀김,품목,시장규모:2021년 250억 원,점유율:약 1.1%
유통업체,기업,판매,냉동치즈,품목,시장규모:2021년 240억 원,점유율:약 1.0%
유통업체,기업,판매,냉동국/탕/찌개류,품목,시장규모:2021년 230억 원,점유율:약 1.0%
유통업체,기업,판매,냉동해산물,품목,시장규모:2021년 220억 원,점유율:약 0.9%
유통업체,기업,판매,냉동대체육,품목,시장규모:2021년 210억 원,점유율:약 0.9%
유통업체,기업,판매,냉동대체해산물,품목,시장규모:2021년 200억 원,점유율:약 0.9%
유통업체,기업,판매,냉동반조리빵,품목,시장규모:2021년 190억 원,점유율:약 0.8%
유통업체,기업,판매,냉동케익,품목,시장규모:2021년 180억 원,점유율:약 0.8%
유통업체,기업,판매,냉동치킨,품목,시장규모:2021년 170억 원,점유율:약 0.7%
유통업체,기업,판매,냉동핫도그,품목,시장규모:2021년 160억 원,점유율:약 0.7%
유통업체,기업,판매,냉동피자,품목,시장규모:2021년 150억 원,점유율:약 0.6%
유통업체,기업,판매,냉동만두,품목,시장규모:2021년 140억 원,점유율:약 0.6%
유통업체,기업,판매,냉동밥류,품목,시장규모:2021년 130억 원,점유율:약 0.6%
유통업체,기업,판매,냉동튀김,품목,시장규모:2021년 120억 원,점유율:약 0.5%
유통업체,기업,판매,냉동치즈,품목,시장규모:2021년 110억 원,점유율:약 0.5%
유통업체,기업,판매,냉동국/탕/찌개류,품목,시장규모:2021년 100억 원,점유율:약 0.4%
유통업체,기업,판매,냉동해산물,품목,시장규모:2021년 90억 원,점유율:약 0.4%
유통업체,기업,판매,냉동대체육,품목,시장규모:2021년 80억 원,점유율:약 0.3%
유통업체,기업,판매,냉동대체해산물,품목,시장규모:2021년 70억 원,점유율:약 0.3%
유통업체,기업,판매,냉동반조리빵,품목,시장규모:2021년 60억 원,점유율:약 0.3%
유통업체,기업,판매,냉동케익,품목,시장규모:2021년 50억 원,점유율:약 0.2%
유통업체,기업,판매,냉동치킨,품목,시장규모:2021년 40억 원,점유율:약 0.2%
유통업체,기업,판매,냉동핫도그,품목,시장규모:2021년 30억 원,점유율:약 0.1%
유통업체,기업,판매,냉동피자,품목,시장규모:2021년 20억 원,점유율:약 0.1%
유통업체,기업,판매,냉동만두,품목,시장규모:2021년 10억 원,점유율:약 0.0%
